publication_id,publication_name,publisher_name,channel_id,language,category,language_id,category_id,to_scrape
9352,MyGov India,MyGov India,UCTJpJk8bqQQEqeX58z8eimA,English,govt news,14,13,FALSE
9354,Pratidin Time,Pratidin Time,UC1JkYCOb4wKvdWreGQ0CR9g,Assamese,news,13,13,FALSE
9355,Aakash Healthcare,Aakash Healthcare,UCSi3HUypMZiZX8gtUNXn2gw,Hindi,health,2,8,FALSE
9356,TV9 Gujarati,TV9 Network,UCeJWZgSMlzqYEDytDnvzHnw,Gujarati,news,3,13,FALSE
9357,TV9 Kannada,TV9 Network,UC8dnBi4WUErqYQHZ4PfsLTg,Kannada,news,9,13,FALSE
9359,TV9 Telugu,TV9 Network,UCPXTXMecYqnRKNdqdVOGSFg,Telugu,news,5,13,FALSE
9360,News9 Live,TV9 Network,UCRK4FDIkUyslEAUdyRDdCtQ,English,news,1,13,FALSE
9361,CricketNext,Network 18,UCY9G05h0IBHAimoCQLmovuA,English,cricket,1,18,FALSE
9362,GunjanShouts,GunjanShouts,UCKRpf_HZfpLwxuIgyeYnsVw,Hindi,health,2,8,FALSE
9363,Healthy Hamesha,Healthy Hamesha,UCys-KuZ7z2KHsPaW4U_lEBQ,Hindi,health,2,8,FALSE
9364,Filmy News Gossip,Filmy News Gossip,UCmjlfM8jeNFaGwJLB-02IGQ,Telugu,entertainment,5,3,FALSE
9365,Health and Fitness Tips,Health and Fitness Tips,UCnlgiPLpnXdXr7opagJv3fA,English,health,1,8,FALSE
9366,News Karnataka,Spearhead media,UCmfi7_5Nep1MKxo85c8EeSg,Kannada,news,9,13,FALSE
9367,News Kannada,Spearhead media,UC11F9sbcB7bm8k2YQoPh2Mg,Kannada,news,9,13,FALSE
9370,Ryan Fernando,Ryan Fernando,UCONax_0CMWVL6b7tHulEQhA,English,health,1,8,FALSE
9371,Dr Pal,Dr Pal,UCP4k407eomZThGHo_9sgMkg,English,health,1,8,FALSE
9372,Campaigncalling Media,Campaigncalling Media,UCrp7axFgr0WTbFWybKFKZlQ,Bangla,news,7,13,FALSE
9373,Isha Foundation,Isha Foundation,UCgaiWfiix1zaQS6Mn5SIw2g,English,health,1,8,FALSE
9374,Sounds of Isha,Sounds of Isha,UCT8M_hDfTRjUbs8hwahZyBA,English,spiritual,1,20,FALSE
9375,Sadhguru,Sadhguru,UCcYzLCs3zrQIBVHYA1sK2sw,English,health,1,8,FALSE
9376,Sadhguru Hindi,Sadhguru,UCJ2KaH9TTjZdmKwwAFwwFkA,Hindi,health,2,8,FALSE
9377,Sadhguru Tamil,Sadhguru,UCsVCyZFXPPL_iYD8-O2UvrQ,Tamil,spiritual,6,20,FALSE
9378,Sadhguru Telugu,Sadhguru,UCNxOfQA4r5BSJMIQzRPIeQw,Telugu,spiritual,5,20,FALSE
9379,Sadhguru Malyalam,Sadhguru,UCIAdGobptLFqTpbDauCnKhw,Malayalam,spiritual,10,20,FALSE
9380,Sadhguru Kannada,Sadhguru,UC2XEzs5R1mn2wTKgtjuMxiQ,Kannada,spiritual,9,20,FALSE
9381,Sadhguru Marathi,Sadhguru,UCIiXzyCf-PL3FHve7ylSCeA,Marathi,spiritual,4,20,FALSE
9382,Sadhguru Gujarati,Sadhguru,UCNI69xZrdnciORKJDd77Fiw,Gujarati,spiritual,3,20,FALSE
9383,Sadhguru Bangla,Sadhguru,UCj6F6irakw10kKGEe3wZX_A,Bangla,spiritual,7,20,FALSE
9384,Sadhguru Odia,Sadhguru,UCp212L-a82PSAllY7IIn0Uw,Odia,spiritual,11,20,FALSE
9385,Sadhguru Assamese ,Sadhguru,UCyaNJ-pnCnRhzGzVZ0jTRow,Assamese,spiritual,13,20,FALSE
9386,Yatinder Singh,Yatinder Singh,UC12K7FCbzFG5BOMJrHn-sog,Hindi,health,2,8,FALSE
9387,The Wall News,The Wall News,UCxhf49wOiJeWiUzkBfuAEcQ,Bangla,news,7,13,FALSE
9388,Prameya News7,Prameya News,UCaErUjJ2bJ7I7fYqrvwS3bw,Odia,news,11,13,FALSE
9389,Times Applaud,Times Applaud,UCEBefZHjKrPsawl69TiympQ,Hindi,entertainment,2,3,FALSE
9390,The Statesman,The Statesman,UCbWxDrtUG4D5eJa_TWVOQog,English,Elections 2024,1,69,FALSE
9391,Vyjayanthi Network,Vyjayanthi Network,UC70pKToywlxOGdgIvz8gYqA,Hindi,Kalki,2,71,FALSE
9393,Virtual Banjara,Virtual Banjara,UCE81YzUkrvSDLgvDCnZFF1Q,Hindi,Food,2,9,FALSE
9394,Distance Between,Distance Between,UC9S4dwNL3ZCdtSXjiBQT58Q ,Hindi,Travel,2,11,FALSE
9395,News Malayalam,News Malayalam,UCXp6JTdq7-WwBK09S7SzmxQ,Malayalam,news,10,13,FALSE
9397,Meri Sahelli,Meri Sahelli,UCq66YIEmsn4PP_UM1uzELbQ,Hindi,entertainment,2,3,FALSE
9398,ReporteR Sahab,ReporteR Sahab,UClUpkTfBraeM0RmRy5yB1Ew,Hindi,news,2,13,FALSE
9399,MeriSahelli Spiritual,MeriSahelli Spiritual,UCdA5y3_qawqRZuDRqq9nH5Q,Hindi,spiritual,2,20,FALSE
9400,TheSootr,TheSootr,UCnOACbwmpn3_adWl_zU63YQ,Hindi,news,2,13,FALSE
9401,FastFWD,FastFWD,UC9dfHbEGxDMe8Bl_dNyp0xQ,Hindi,automotive,2,10,FALSE
9403,Latestly,Latestly,UC3Fci14HzLNhI9_stjLWV7g,Hindi,news,2,13,FALSE
9404,Aajkaal,Aajkaal.in,UCkwTQGJelg1F-gV2ZmfPg8Q,Bangla,news,7,13,FALSE
9405,Bollywood Town,Bollywood Town,UCB07306JGVnGTaUU1XVUAhQ,Hindi,entertainment,2,3,FALSE
9406,Chai And Churan,Chai And Churan,UCGVjx89C-v-2SFPGiSmIMMQ,Hindi,entertainment,2,3,FALSE
9407,Kisan India,Kisan India,UCC0sKVb7btEKzlQ05pJcvTA,Hindi,Agro,2,51,FALSE
9408,News Nation,News Nation,UCsNdeLwEZf86swPD3qJJ7Dw,Hindi,news,2,13,FALSE
9409,Filmy Beyond,Filmy Beyond,UCoJ7kM4LhPhNHlpnN_mWFBA,Hindi,entertainment,2,3,FALSE
9410,Jaipur Literature Festival,Jaipur Literature Festival,UCKTmQriO9OorGm-YfaRDNeg,English,entertainment,1,3,FALSE
9411,GaneshaSpeaks,GaneshaSpeaks,UCp6_WveB73-Y0cvHcZXEVGA,Hindi,astrology,2,2,FALSE
