publisher_id,publisher_name,channel,channel_id,custom_url,language,category,language_id,category_id
1877,Diamond Magazines,Cricktoday,UCMjwxGIoflFDX42YvVbew2A,@crictodayindia,Hindi,sports,2,12
1878,Digit Telugu,Digit Telugu,UCmERWHzlS4PS7C3JhqdQg2A,@digittelugu,Telugu,technology,5,14
1879,Ryan Fernando,Ryan Fernando,UCONax_0CMWVL6b7tHulEQhA,@celebritynutritionistryan,English,health,1,8
1880,Digit Bangla,Digit Bangla,UCqMDK9dwTlIITAJD-MWjEiQ,@digitbangla,Bangla,technology,7,14
1881,Dr Pal,Dr Pal,UCP4k407eomZThGHo_9sgMkg,@DrPal,English,health,1,8
1882,Saam TV,Saam TV,UC6cxTsUnfSZrj96KNHhRTHQ,@SaamTV,Marathi,news,4,13
1883,Isha Foundation,Isha Foundation,UCgaiWfiix1zaQS6Mn5SIw2g,@ishafoundation,English,health,1,8
1884,CNBC TV18,CNBC - TV18,UCmRbHAgG2k2vDUvb3xsEunQ,@CNBC-TV18,English,business,1,17
1885,Sounds of Isha,Sounds of Isha,UCT8M_hDfTRjUbs8hwahZyBA,@soundsofisha,English,spiritual,1,20
1886,Sadhguru,Sadhguru,UCcYzLCs3zrQIBVHYA1sK2sw,@sadhguru,English,health,1,8
1887,Sadhguru,Sadhguru Hindi,UCJ2KaH9TTjZdmKwwAFwwFkA,@SadhguruHindi,Hindi,health,2,8
1888,Sadhguru,Sadhguru Tamil,UCsVCyZFXPPL_iYD8-O2UvrQ,@SadhguruTamil,Tamil,spiritual,6,20
1889,Sadhguru,Sadhguru Telugu,UCNxOfQA4r5BSJMIQzRPIeQw,@SadhguruTelugu,Telugu,spiritual,5,20
1890,Sadhguru,Sadhguru Malyalam,UCIAdGobptLFqTpbDauCnKhw,@SadhguruMalayalam,Malayalam,spiritual,10,20
1891,Sadhguru,Sadhguru Kannada,UC2XEzs5R1mn2wTKgtjuMxiQ,@SadhguruKannada,Kannada,spiritual,9,20
1892,Sadhguru,Sadhguru Marathi,UCIiXzyCf-PL3FHve7ylSCeA,@SadhguruMarathi,Marathi,spiritual,4,20
1893,Sadhguru,Sadhguru Gujarati,UCNI69xZrdnciORKJDd77Fiw,@SadhguruGujarati,Gujarati,spiritual,3,20
1894,Sadhguru,Sadhguru Bangla,UCj6F6irakw10kKGEe3wZX_A,@SadhguruBangla,Bangla,spiritual,7,20
1895,Sadhguru,Sadhguru Odia,UCp212L-a82PSAllY7IIn0Uw,@SadhguruOdia,Odia,spiritual,11,20
1896,Sadhguru,Sadhguru Assamese,UCyaNJ-pnCnRhzGzVZ0jTRow,@sadhguruassamese4677,Assamese,spiritual,13,20
